,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
87736,2.01E+16,2008,7,2,,0,,97,Israel,10,Middle East & North Africa,Jerusalem,Jerusalem,55.863239,-4.427852,1,0,The incident occurred on Yafo Street.,"07/02/2008: On Wednesday, on Yafo Street in Jerusalem, Israel, an armed assailant drove a front-end loader into civilians, killing four civilians, wounding 45 others, and damaging two buses and two dozen cars. There was no motive reported and Ahrar al-Jalil, Al-Aqsa Martyrs Brigade, and Popular Front for the Liberation of Palestine all claimed separate responsibility.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Civilians,97,Israel,,,,,,,,,,,,,,,,,Ahrar Al-Jalil (Free People of the Galilee),Ahrar Al Jalil Brigades,Al-Aqsa Martyrs Brigade,,Popular Front for the Liberation of Palestine (PFLP),,The specific motive for the attack is unknown.,0,0,0,0,-99,0,1,10,Unknown,1,10,Unknown,1,10,Unknown,0,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A front-end loader was used in the attack.,4,0,,45,0,,1,3,Minor (likely < $1 million),,The attack caused an unknown amount of property damage to two buses and two dozen cars.,0,,,,,,,,,,,,,,,,,"National Counterterrorism Center, ""Four Civilians Killed, Forty-Five Others Wounded in Front-End Loader Attack in Jerusalem, Israel,"" Worldwide Incidents Tracking System, January 20, 2010","New York Times,""Palestinian Rams Construction Vehicle into Traffic, Killing Three,"" Lexisnexis Academic, New York Times, July 03, 2008","Maan News Agency,""Group Claiming Bulldozer Attack Warns Israel Against Retaliation in East Jerusalem,"" maannews.net, July 04, 2008.",ISVG,0,0,0,0,
90963,2.01E+16,2009,3,5,,0,,97,Israel,10,Middle East & North Africa,Jerusalem,Jerusalem,31.784838,35.224613,1,0,,"03/05/2009: On Thursday, a Palestinian bulldozer driver was shot dead on Begin Highway, in Jerusalem, Israel after ramming a police car with his bulldozer. The two policemen inside the car were slightly hurt in the attack. No claim of responsibility has been reported.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,23,Police Patrol (including vehicles and convoys),Israeli Police,Israeli police vehicle,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0,,,0,-99,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A bulldozer was used in the attack.,1,0,1,2,0,0,1,,,,The attack caused an unknown amount of property damage to a police car.,0,,,,,,,,,,,,,,,,,"Deutsche Presse-Agentur (Germany), ""Bulldozer Driver Shot Dead in Jerusalem After Ramming Police,"" LexisNexis Academic, Deutsche Presse-Agentur (Germany), March 05, 2009.","National Counterterrorism Center, ""Two Police Officers Wounded in Bulldozer Attack in Jerusalem, Israel,"" Worldwide Incidents Tracking System (December 21, 2009).","Associated Press Worldstream, ""Palestinian Driver Killed After Jerusalem Rampage,"" LexisNexis Academic, Associated Press Worldstream, March 05, 2009.",ISVG,-9,-9,0,-9,
91748,2.01E+16,2009,5,1,,0,,142,Netherlands,8,Western Europe,Gelderland,Apeldoorn,31.771599,35.2034,1,0,The attack took place in Apeldoorn.,"05/01/2009: On Friday, in Apeldorn, Gelderland, Netherlands, seven people were killed, including the driver and 12 people were injured when a man aimed his car into a crowd of civilians attending a festival for the royal family, damaging one vehicle. The target of the attack was a bus carrying the Queen and her family, but the car was stopped 15 yards from the bus. The 38 year old male driver was identified as Karst Tates, and is said to have acted alone and his motive for the attack was unknown.",1,1,1,0,,,0,0,0,1,Assassination,,,,,2,Government (General),16,Royalty,,The Dutch royal family,142,Netherlands,,,,,,,,,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A vehicle was used in the attack.,7,0,1,12,0,0,1,3,Minor (likely < $1 million),,The attack caused an unknown amount of property damage to a vehicle and a stone monument.,0,,,,,,,,,,,,,,,,,"Marlise Simons, ""Driver Dies After Aiming Car at Dutch Royals,"" New York Times, May 01, 2009, http://www.nytimes.com/2009/05/02/world/europe/02dutch.html?_r=1&ref=europe.","Catherine Hornby, ""Dutch Parade Attacker and Policeman Die,"" Reuters: alertnet.org, May 01, 2009, http://www.reuters.com/article/worldNews/idUSTRE54026W20090501",,ISVG,-9,-9,0,-9,
97319,2.01E+16,2010,7,12,,0,,96,Ireland,8,Western Europe,Wexford,Broadway,52.211157,5.969923,1,0,The attack occurred in Broadway near Wexford.,"07/12/2010: On Monday, in Broadway near Wexford, Ireland, seven civilians, including two children, were injured after a car was driven into a crowd gathered by a bonfire. No damage was reported and no group claimed responsibility.",1,1,1,1,2,Other Crime Type,0,1,0,8,Unarmed Assault,,,,,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Civilians,96,Ireland,,,,,,,,,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0,,,0,-99,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A vehicle was used in the attack.,0,0,0,7,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"Guardian, ""Northern Ireland Police Shot in Wave of Belfast Violence,"" Guardian, July 12, 2010, http://www.guardian.co.uk/uk/2010/jul/12/northern-ireland-police-officers-shot.",,,ISVG,-9,-9,0,-9,
112788,2.01E+16,2012,12,3,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Shavei Shomron,52.21909,-6.38716,1,1,,"12/03/2012: A Palestinian motorist attacked Shin Bet (Israel Security Agency) officers near Shavei Shomron, West Bank, West Bank and Gaza Strip. The assailant crashed his vehicle into a jeep carrying the intelligence officers and attacked them with an axe, shouting ""Allahu Akbar"". The assailant, identified as Hatem Shadid, was killed and at least two officers were injured in the attack. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,23,Police Patrol (including vehicles and convoys),Shin Bet,Vehicle,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,9,Melee,23,Knife or Other Sharp Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,An axe was used in the attack.,1,0,1,2,0,0,1,4,Unknown,-99,A military jeep was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Shin Bet officers shoot dead ax-wielding Palestinian after attack,"" Jerusalem Post, December 4, 2012.","""Israeli forces kill axe-wielding Palestinian: Shin Bet,"" Agence France Presse -- English, December 3, 2012.","""Israeli soldiers   shoot   dead axe-wielding Palestinian in West Bank,"" Deutsche Presse-Agentur, December 3, 2012.",START Primary Collection,0,0,0,0,
117424,2.01E+16,2013,5,22,,0,,603,United Kingdom,8,Western Europe,England,London,32.263507,35.184428,1,0,The incident occurred in the Woolwich area of the city.,"05/22/2013: Two assailants hit Lee Rigby with their car and then proceeded to attack the man with machetes in London, England, United Kingdom. Rigby, an off-duty British soldier, was killed in the incident. Michael Olumide Adebolajo and Michael Oluwatobi Adebowale claimed responsibility in a video shot at the scene and stated that the attack was carried out in retaliation for British soldiers killing Muslims abroad.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",British Armed Forces,Soldier,216,Great Britain,,,,,,,,,,,,,,,,,Muslim extremists,,,,,,"In a video recorded by a bystander, the individual claimed responsibility and stated that he killed a British soldier because of the killing of Muslims in Afghanistan and other countries and demanded the British government return troops home.",0,,,1,2,2,1,8,Personal claim,,,,,,,,9,Melee,23,Knife or Other Sharp Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,A machete and cleaver were used in the attack.,1,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""BBC News - Woolwich attack: Killed man 'in armed forces',"" BBC News Online, May 23, 2013.","""'Soldier' killed near London army barracks,"" Al Jazeera, May 22, 2013.","""Lee Rigby killers: from quiet Christians to Islamist murderers,"" The Telegraph, November 15, 2014.",START Primary Collection,-9,-9,1,1,
122347,2.01E+15,2013,10,17,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Rama,51.504385,-0.140041,1,0,,"10/17/2013: An assailant drove a tractor into an Israel Defense Forces (IDF) base in Rama, West Bank, West Bank and Gaza Strip. The assailant was killed and one soldier was wounded. No group claimed responsibility for the incident.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Israel Defense Forces (IDF),Base,155,West Bank and Gaza Strip,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A tractor was used in the attack.,1,0,1,1,0,0,1,4,Unknown,-99,Several military vehicles were damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Suspected Palestinian terrorist shot dead trying to enter IDF base in West Bank,"" Jerusalem Post, October 17, 2013.","""Palestinian killed after infiltrating Israeli army base,"" JTA, October 17, 2013.","""IDF concerned: 'Increased motivation to carry out terror attacks',"" Ynet News, October 17, 2013.",START Primary Collection,0,0,0,0,
128776,2.01E+16,2014,3,13,,0,,96,Ireland,8,Western Europe,Cavan,Ballyconnell,31.855701,35.166883,1,0,,"03/13/2014: Assailants drove a vehicle into the entrance of an Aventas Group building in Ballyconnell town, county Cavan, Ireland. Assailants in the vehicle then set it and the building's foyer on fire. There were no reported casualties; however, the building was damaged in the blast. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,5,Industrial/Textiles/Factory,Aventas Group,Building,96,Ireland,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,2,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A building was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Arson attack at former Quinn factory,"" BBC, March 14, 2014.","""Arson attack at Quinn premises in Co Cavan,"" Irish Independent, March 14, 2014.","""4x4 set on fire at Quinn plant in Cavan,"" Yahoo! UK and Ireland, March 14, 2014.",START Primary Collection,-9,-9,0,-9,
128878,2.01E+16,2014,3,15,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Bayt Umar,54.115491,-7.582447,1,0,,"03/15/2014: An assailant drove a vehicle into an Israeli Border Police roadblock in Bayt Umar town, West Bank, West Bank and Gaza Strip. At least four police officers were injured in the attack. No group claimed responsibility for the incident.",1,1,1,1,4,Lack of Intentionality,0,1,0,8,Unarmed Assault,,,,,3,Police,24,Police Checkpoint,Israeli Border Police,Roadblock,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A car was used in the attack.,0,0,0,4,0,0,0,,,,,0,,,,,,,,,,,,,,,,There is doubt that this incident meets terrorism-related criteria. Sources indicated that the driver who struck the roadblock may have done so by accident.,"""4 Border Policemen lightly injured, hit by Palestinian driver,"" Ynet News, March 15, 2014.",,,START Primary Collection,-9,-9,0,-9,
130502,2.01E+16,2014,4,16,,0,,214,Ukraine,9,Eastern Europe,Donetsk,Mariupol,31.626705,35.104968,1,0,,"04/16/2014: Assailants threw incendiary devices and opened fire on a Ukrainian National Guard base in Mariupol city, Donetsk oblast, Ukraine. Three assailants were killed and 13 others were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,7,Facility/Infrastructure Attack,,,,,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,National Guard of Ukraine (NGU),Base,214,Ukraine,,,,,,,,,,,,,,,,,Donetsk People's Republic,,,,,,,0,,,0,300,63,0,,,,,,,,,,5,Firearms,2,Automatic or Semi-Automatic Rifle,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,"A truck was used to ram a gate, sticks, bats, and stun grenades were carried by attackers, and assault rifles and petrol bombs were used in the attack.",3,0,3,13,0,13,1,3,Minor (likely < $1 million),-99,A police jeep and the gates of the Ukrainian National Guard base were damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Ukraine troops kill 3   assailants   storming eastern base,"" Agence France Presse -- English, April 17, 2014.","""Deadly clashes at eastern Ukraine port base,"" Al Jazeera, April 17, 2014.","""Kiev says three separatists killed in attempted storming of base,"" Reuters, April 17, 2014.",START Primary Collection,0,1,0,1,
136065,2.01E+16,2014,8,4,,0,,97,Israel,10,Middle East & North Africa,Jerusalem,Jerusalem,31.7716,35.203401,1,0,The incident occurred in the Shmuel HaNavi neighborhood,"08/04/2014: An assailant stole a construction excavator and proceeded to overturn a commuter bus in Shmuel HaNavi neighborhood, Jerusalem city, Jerusalem district, Israel. Two people, an Israeli civilian and the assailant, were killed, while five other individuals were injured during the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Palestinian extremists.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,19,Transportation,99,Bus (excluding tourists),Unknown,Bus,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,An excavator was used in the attack.,2,0,1,5,0,0,1,3,Minor (likely < $1 million),-99,A construction excavator and a bus were damaged in this attack.,0,,,,,,,,,,,,,,,,"Casualty numbers for this attack conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""1 Israeli killed, 5 hurt as excavator rams Jerusalem bus,"" Agence France Presse -- English, August 4, 2014.","""Construction vehicle overturns Jerusalem bus in suspected attack, 2 dead,"" Reuters, August 4, 2014.","""Tractor hits bus, killing 1 in Jerusalem terror attack,"" Jerusalem Post, August 4, 2014.",START Primary Collection,1,0,0,1,
136637,2.01E+16,2014,8,16,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Ballygawley,54.462836,-7.026944,1,0,Dungannon,"08/16/2014: Assailants attacked the vehicle of Sammy Brush in Ballygawley village, Dungannon district, Northern Ireland, United Kingdom. Brush, a councilor, was unharmed in the attack. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Government of Dungannon and South Tyrone,Councilor: Sammy Brush,233,Northern Ireland,,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive is unknown; however, sources speculated that the attack may have been part of a larger trend of sectarian violence in Northern Ireland.",0,,,0,-99,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A vehicle was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Sammy Brush: DUP councillor in Ballygawley 'targeted for 39th time',"" BBC, August 17, 2014.","""DUP councillor attacked 'for 40th time',"" UTV, August 24, 2014.",,START Primary Collection,-9,-9,1,1,
